"date","abundance","abundanceExt"
1971-01-01,161.913460767353,161.913460767353
1972-01-01,272.56123233206,272.56123233206
1973-01-01,321.498019498959,321.498019498959
1974-01-01,369.750708672078,369.750708672078
1975-01-01,497.955506189778,497.955506189778
1976-01-01,484.895454564729,484.895454564729
1977-01-01,465.230350178422,465.230350178422
1978-01-01,498.523975174025,498.523975174025
1979-01-01,499.927662598279,499.927662598279
1980-01-01,483.42670506395,483.42670506395
1981-01-01,483.660417803239,483.660417803239
1982-01-01,495.219666991801,495.219666991801
1983-01-01,463.045397076485,463.045397076485
1984-01-01,492.793380007443,492.793380007443
1985-01-01,476.475114414228,476.475114414228
1986-01-01,499.001067848159,499.001067848159
1987-01-01,498.963739665878,498.963739665878
1988-01-01,481.602976395455,481.602976395455
1989-01-01,489.578424144601,489.578424144601
1990-01-01,490.032753626141,157.010980038082
1991-01-01,489.489287679426,236.428441131432
1992-01-01,499.709077291565,360.269625120724
1993-01-01,496.366335976804,442.029192589079
1994-01-01,497.87065411587,498.681329857542
1995-01-01,499.945709224314,499.927211852754
1996-01-01,499.999123447906,499.999171814651
1997-01-01,499.321902392956,499.321905824129
1998-01-01,489.753445088913,489.753445931798
1999-01-01,498.024617897756,498.024617999133
2000-01-01,483.470239659666,483.470239689948
2001-01-01,474.760195391213,474.760195402124
2002-01-01,477.332045334168,477.332045338019
2003-01-01,495.634440186278,495.634440185454
2004-01-01,461.650924833829,461.650924833496
2005-01-01,474.880009181632,474.880009181506
2006-01-01,498.921879772696,498.921879772709
2007-01-01,499.254857275273,499.254857275274
2008-01-01,435.13395947122,435.133959471219
2009-01-01,473.573831799233,473.573831799233
2010-01-01,493.215153266533,493.215153266533
2011-01-01,458.263535876892,458.263535876891
2012-01-01,496.821621353754,496.821621353754
2013-01-01,482.394870026339,482.394870026339
2014-01-01,482.00014582984,482.00014582984
2015-01-01,488.474786994089,488.474786994089
2016-01-01,496.129619276423,496.129619276423
2017-01-01,435.467132196792,435.467132196792
2018-01-01,499.257054827286,499.257054827286
2019-01-01,488.133086041194,488.133086041194
2020-01-01,499.796971312101,499.796971312101
